benchmark,task,method,noise_rate,repetition,corrupted_selected_labels,classes_with_target_support,mean_cosine_to_oracle_target_prototype,target_labels_used_only_for_noise_control_and_posthoc_diagnostics,accuracy,balanced_accuracy
office31,A2W,source_anchored,0.5,1,308,31,0.961404025554657,True,84.52830188679246,83.84944191904002
office31,A2W,without_source_fusion,0.5,1,308,31,0.961404025554657,True,83.52201257861635,82.62652157228982
office31,A2W,source_anchored,0.5,2,308,31,0.9594597220420837,True,84.40251572327044,83.7419150373196
office31,A2W,without_source_fusion,0.5,2,308,31,0.9594597220420837,True,83.77358490566039,82.89016339160283
office31,A2W,source_anchored,0.5,3,308,31,0.9567724466323853,True,84.27672955974843,83.41830957583693
office31,A2W,without_source_fusion,0.5,3,308,31,0.9567724466323853,True,83.39622641509435,82.53046037060948
office31,A2W,source_anchored,0.5,4,308,31,0.9616872072219849,True,84.40251572327044,83.7419150373196
office31,A2W,without_source_fusion,0.5,4,308,31,0.9616872072219849,True,83.64779874213836,82.74551413405035
office31,D2A,source_anchored,0.0,0,0,31,0.9909248352050781,True,81.46964856230032,81.06616113073677
office31,D2A,without_source_fusion,0.0,0,0,31,0.9909248352050781,True,81.15015974440894,80.77322265654033
office31,D2A,source_anchored,0.0,1,0,31,0.9909248352050781,True,81.46964856230032,81.06616113073677
office31,D2A,without_source_fusion,0.0,1,0,31,0.9909248352050781,True,81.15015974440894,80.77322265654033
office31,D2A,source_anchored,0.0,2,0,31,0.9909248352050781,True,81.46964856230032,81.06616113073677
office31,D2A,without_source_fusion,0.0,2,0,31,0.9909248352050781,True,81.15015974440894,80.77322265654033
office31,D2A,source_anchored,0.0,3,0,31,0.9909248352050781,True,81.46964856230032,81.06616113073677
office31,D2A,without_source_fusion,0.0,3,0,31,0.9909248352050781,True,81.15015974440894,80.77322265654033
office31,D2A,source_anchored,0.0,4,0,31,0.9909248352050781,True,81.46964856230032,81.06616113073677
office31,D2A,without_source_fusion,0.0,4,0,31,0.9909248352050781,True,81.15015974440894,80.77322265654033
office31,D2A,source_anchored,0.1,0,222,31,0.9934714436531067,True,81.2921547745829,80.90084476238256
office31,D2A,without_source_fusion,0.1,0,222,31,0.9934714436531067,True,81.07916222932198,80.70477588419432
office31,D2A,source_anchored,0.1,1,222,31,0.9928353428840637,True,81.32765353212638,80.93480061976797
office31,D2A,without_source_fusion,0.1,1,222,31,0.9928353428840637,True,81.11466098686546,80.73837803473197
office31,D2A,source_anchored,0.1,2,222,31,0.9936438202857971,True,81.2921547745829,80.88439739396152
office31,D2A,without_source_fusion,0.1,2,222,31,0.9936438202857971,True,81.15015974440894,80.77163377134653
office31,D2A,source_anchored,0.1,3,222,31,0.9929039478302002,True,81.36315228966986,80.95025760901528
office31,D2A,without_source_fusion,0.1,3,222,31,0.9929039478302002,True,81.11466098686546,80.73837803473197
office31,D2A,source_anchored,0.1,4,222,31,0.9934235215187073,True,81.32765353212638,80.93376115474595
office31,D2A,without_source_fusion,0.1,4,222,31,0.9934235215187073,True,81.15015974440894,80.7752180007372
office31,D2A,source_anchored,0.2,0,445,31,0.9911651611328125,True,81.2921547745829,80.88439739396152
office31,D2A,without_source_fusion,0.2,0,445,31,0.9911651611328125,True,80.97266595669151,80.60599927677717
office31,D2A,source_anchored,0.2,1,445,31,0.9913888573646545,True,81.32765353212638,80.93376115474595
office31,D2A,without_source_fusion,0.2,1,445,31,0.9913888573646545,True,81.04366347177849,80.67151307790785
office31,D2A,source_anchored,0.2,2,445,31,0.9920196533203125,True,81.36315228966986,80.96736330528358
